,Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
0,22037060,6511840.0,7033160.0,9470220.0,8689340.0,52.94494476318359,51.920921325683594,50.82182159423828,55.084083557128906,59.44844741821289,62.62562637329101,1
1,6511840,7033160.0,9470220.0,8689340.0,15478580.0,51.920921325683594,50.82182159423828,55.084083557128906,59.44844741821289,62.62562637329101,68.26226196289062,1
2,7033160,9470220.0,8689340.0,15478580.0,14123420.0,50.82182159423828,55.084083557128906,59.44844741821289,62.62562637329101,68.26226196289062,69.39839935302734,1
3,9470220,8689340.0,15478580.0,14123420.0,12683080.0,55.084083557128906,59.44844741821289,62.62562637329101,68.26226196289062,69.39839935302734,73.18118133544922,1
4,8689340,15478580.0,14123420.0,12683080.0,19442640.0,59.44844741821289,62.62562637329101,68.26226196289062,69.39839935302734,73.18118133544922,92.18218231201172,1
5,15478580,14123420.0,12683080.0,19442640.0,48018480.0,62.62562637329101,68.26226196289062,69.39839935302734,73.18118133544922,92.18218231201172,95.88688659667969,1
6,14123420,12683080.0,19442640.0,48018480.0,29183540.0,68.26226196289062,69.39839935302734,73.18118133544922,92.18218231201172,95.88688659667969,86.23423309326172,0
7,12683080,19442640.0,48018480.0,29183540.0,27060320.0,69.39839935302734,73.18118133544922,92.18218231201172,95.88688659667969,86.23423309326172,88.0330307006836,1
8,19442640,48018480.0,29183540.0,27060320.0,33697220.0,73.18118133544922,92.18218231201172,95.88688659667969,86.23423309326172,88.0330307006836,85.70270080566407,0
9,48018480,29183540.0,27060320.0,33697220.0,22102580.0,92.18218231201172,95.88688659667969,86.23423309326172,88.0330307006836,85.70270080566407,90.36936798095704,1
10,29183540,27060320.0,33697220.0,22102580.0,15328920.0,95.88688659667969,86.23423309326172,88.0330307006836,85.70270080566407,90.36936798095704,86.36436462402344,0
11,27060320,33697220.0,22102580.0,15328920.0,13042040.0,86.23423309326172,88.0330307006836,85.70270080566407,90.36936798095704,86.36436462402344,88.63563537597656,1
12,33697220,22102580.0,15328920.0,13042040.0,17317420.0,88.0330307006836,85.70270080566407,90.36936798095704,86.36436462402344,88.63563537597656,93.58157958984376,1
13,22102580,15328920.0,13042040.0,17317420.0,11578940.0,85.70270080566407,90.36936798095704,86.36436462402344,88.63563537597656,93.58157958984376,97.973974609375,1
14,15328920,13042040.0,17317420.0,11578940.0,14481820.0,90.36936798095704,86.36436462402344,88.63563537597656,93.58157958984376,97.973974609375,96.64364318847656,0
15,13042040,17317420.0,11578940.0,14481820.0,19812960.0,86.36436462402344,88.63563537597656,93.58157958984376,97.973974609375,96.64364318847656,98.9109115600586,1
16,17317420,11578940.0,14481820.0,19812960.0,17901560.0,88.63563537597656,93.58157958984376,97.973974609375,96.64364318847656,98.9109115600586,93.82782897949218,0
17,11578940,14481820.0,19812960.0,17901560.0,21658080.0,93.58157958984376,97.973974609375,96.64364318847656,98.9109115600586,93.82782897949218,95.61361236572266,1
18,14481820,19812960.0,17901560.0,21658080.0,23807800.0,97.973974609375,96.64364318847656,98.9109115600586,93.82782897949218,95.61361236572266,101.68668670654297,1
19,19812960,17901560.0,21658080.0,23807800.0,33984780.0,96.64364318847656,98.9109115600586,93.82782897949218,95.61361236572266,101.68668670654297,95.61361389160156,0
